Time,RPM,MPH,Throttle,Load,Fuel Status

22:44:12.683932,699,0.0,10.5882352941,28.6274509804,0200
22:44:14.75094,696,0.0,10.5882352941,28.2352941176,0200
22:44:15.492684,698,0.0,10.5882352941,28.6274509804,0200
22:44:16.756309,700,0.0,12.1568627451,36.0784313725,0200
22:44:18.4014,892,0.0,10.5882352941,26.2745098039,0200
22:44:19.356423,730,0.0,10.5882352941,29.0196078431,0200
22:44:20.582791,706,0.0,10.5882352941,27.8431372549,0200
22:44:21.769040,720,0.0,10.5882352941,28.2352941176,0200
22:44:23.126507,703,0.0,10.5882352941,28.2352941176,0200
22:44:24.420306,714,0.0,10.5882352941,28.2352941176,0200
22:44:25.725258,708,0.0,10.5882352941,28.2352941176,0200
22:44:27.36538,702,0.0,14.5098039216,34.1176470588,0400
22:44:28.384002,1338,0.0,10.5882352941,22.3529411765,0400
22:44:29.652840,746,0.0,10.5882352941,30.1960784314,0200
22:44:31.25249,644,0.0,10.5882352941,29.0196078431,0200
22:44:32.332791,727,0.0,10.5882352941,27.0588235294,0200
22:44:33.855439,702,0.0,10.5882352941,28.6274509804,0200
22:44:35.197738,677,0.0,10.5882352941,28.6274509804,0200
22:44:36.410360,708,0.0,10.5882352941,28.2352941176,0200
22:44:37.595268,716,0.0,10.5882352941,28.6274509804,0200
22:44:38.912903,710,0.0,10.5882352941,28.6274509804,0200
22:44:40.229091,708,0.0,10.5882352941,28.6274509804,0200
22:44:41.419134,717,0.0,10.5882352941,28.6274509804,0200
22:44:42.784028,713,0.0,10.5882352941,28.6274509804,0200
22:44:44.74074,710,0.0,10.5882352941,27.8431372549,0200
22:44:45.382917,707,0.0,10.5882352941,28.2352941176,0200
22:44:46.714079,698,0.0,10.5882352941,28.6274509804,0200
22:44:47.980391,695,0.0,10.5882352941,28.2352941176,0200
22:44:49.272840,695,0.0,10.5882352941,28.2352941176,0200
22:44:50.631701,703,0.0,10.5882352941,30.1960784314,0200
22:44:51.886627,829,0.0,10.5882352941,27.8431372549,0200
22:44:53.155472,699,0.0,10.5882352941,29.0196078431,0200
22:44:54.526605,790,0.0,10.5882352941,35.2941176471,0200
22:44:55.895356,693,0.0,10.5882352941,37.6470588235,0200
22:44:57.186706,690,0.0,10.5882352941,37.2549019608,0200
22:44:58.554122,833,0.0,10.5882352941,27.0588235294,0200
22:44:59.872993,706,0.0,10.5882352941,29.4117647059,0200
22:45:1.92911,712,0.0,10.5882352941,28.2352941176,0200
22:45:2.413000,704,0.0,10.5882352941,29.0196078431,0200
22:45:3.665399,703,0.0,10.5882352941,29.0196078431,0200
22:45:4.889407,696,0.0,10.5882352941,29.0196078431,0200
22:45:6.165430,703,0.0,10.5882352941,31.7647058824,0200
22:45:7.437905,716,0.0,10.5882352941,36.862745098,0200
22:45:8.695546,648,0.0,10.5882352941,37.6470588235,0200
22:45:10.45620,634,1.86451211933,10.5882352941,38.431372549,0200
22:45:11.269381,657,3.10752019888,10.5882352941,36.862745098,0200
22:45:12.526789,650,3.10752019888,10.5882352941,37.6470588235,0200
22:45:13.870641,654,3.10752019888,10.5882352941,37.6470588235,0200
22:45:15.196773,637,3.10752019888,10.5882352941,38.0392156863,0200
22:45:16.374540,663,3.72902423866,10.5882352941,40.0,0200
22:45:17.696809,654,3.10752019888,10.5882352941,36.862745098,0200
22:45:19.5708,629,2.48601615911,10.5882352941,37.6470588235,0200
22:45:20.260551,633,0.0,10.5882352941,36.862745098,0200
22:45:21.604773,654,0.0,10.5882352941,37.2549019608,0200
22:45:22.926752,797,0.0,10.5882352941,43.137254902,0200
22:45:24.124407,781,0.0,14.1176470588,50.5882352941,0200
22:45:25.466743,1024,2.48601615911,14.1176470588,42.3529411765,0200
22:45:26.757118,806,4.35052827843,10.5882352941,33.7254901961,0200
22:45:28.49414,682,4.35052827843,10.5882352941,36.862745098,0200
22:45:29.382045,627,2.48601615911,10.5882352941,36.4705882353,0200
22:45:30.655602,643,0.0,10.5882352941,36.862745098,0200
22:45:31.972261,653,0.0,10.5882352941,37.2549019608,0200
22:45:33.348047,646,0.0,10.5882352941,36.4705882353,0200
22:45:34.709395,696,0.0,18.0392156863,63.137254902,0200
22:45:35.976860,1484,4.35052827843,10.5882352941,31.7647058824,0200
22:45:37.272157,886,6.83654443754,14.1176470588,43.137254902,0200
22:45:38.573157,1420,6.83654443754,16.4705882353,58.0392156863,0200
22:45:39.784502,1628,9.32256059664,16.4705882353,53.3333333333,0200
22:45:41.260730,1808,11.187072716,16.862745098,61.9607843137,0200
22:45:42.614556,1558,12.4300807955,16.862745098,60.0,0200
22:45:43.868238,1610,14.2945929149,17.2549019608,59.2156862745,0200
22:45:45.219576,1432,15.5376009944,10.5882352941,21.9607843137,0200
22:45:46.643214,917,15.5376009944,10.5882352941,28.6274509804,0200
22:45:47.859537,778,13.6730888751,10.5882352941,29.4117647059,0200
22:45:49.294440,768,9.94406463642,10.5882352941,31.3725490196,0200
22:45:50.918176,722,7.45804847732,10.5882352941,33.7254901961,0200
22:45:52.334368,641,2.48601615911,16.862745098,70.9803921569,0200
22:45:53.814604,1489,4.97203231821,17.2549019608,63.5294117647,0200
22:45:55.35771,1661,8.07955251709,17.2549019608,60.3921568627,0200
22:45:56.240921,1825,10.5655686762,18.0392156863,59.6078431373,0200
22:45:57.412083,2046,11.8085767557,18.431372549,66.2745098039,0200
22:45:58.477080,1733,14.2945929149,19.2156862745,67.8431372549,0200
22:45:59.578282,1814,16.1591050342,19.2156862745,66.6666666667,0200
22:46:0.827095,1864,18.0236171535,10.5882352941,21.568627451,0400
22:46:1.889575,1342,18.6451211933,17.2549019608,58.8235294118,0200
22:46:2.879658,1571,18.6451211933,17.2549019608,63.137254902,0200
22:46:3.873232,1599,19.8881292728,10.5882352941,24.7058823529,0200
22:46:4.889611,1007,19.8881292728,13.7254901961,36.862745098,0200
22:46:5.935783,1231,19.2666252331,15.2941176471,48.6274509804,0200
22:46:7.16402,1331,19.8881292728,15.6862745098,52.1568627451,0200
22:46:8.72206,1613,20.5096333126,18.0392156863,59.6078431373,0200
22:46:9.87037,1669,21.1311373524,18.431372549,65.8823529412,0200
22:46:10.137162,1692,21.1311373524,18.431372549,65.4901960784,0200
22:46:11.154563,1719,22.3741454319,18.431372549,65.8823529412,0200
22:46:12.209646,1745,23.6171535115,18.8235294118,65.8823529412,0200
22:46:13.224563,1762,24.2386575513,18.8235294118,66.2745098039,0200
22:46:14.270929,1772,24.8601615911,18.8235294118,65.8823529412,0200
22:46:15.290816,1798,26.1031696706,18.8235294118,65.8823529412,0200
22:46:16.338504,1811,26.7246737104,18.8235294118,66.2745098039,0200
22:46:17.353330,1829,27.3461777502,18.8235294118,66.6666666667,0200
22:46:18.434679,1864,27.9676817899,18.8235294118,66.2745098039,0200
22:46:19.539583,1889,29.2106898695,15.6862745098,37.2549019608,0200
22:46:20.588482,1278,29.2106898695,10.5882352941,24.3137254902,0400
22:46:21.608394,955,28.5891858297,10.5882352941,25.8823529412,0200
22:46:22.634695,817,26.1031696706,10.5882352941,29.4117647059,0200
22:46:23.627148,734,20.5096333126,10.5882352941,32.9411764706,0200
22:46:24.670963,643,14.9160969546,10.5882352941,35.2941176471,0200
22:46:25.663412,653,9.94406463642,10.5882352941,33.7254901961,0200
22:46:26.631005,722,7.45804847732,10.5882352941,33.3333333333,0200
22:46:27.620955,660,4.35052827843,10.5882352941,36.862745098,0200
22:46:28.637125,930,1.86451211933,17.2549019608,69.4117647059,0200
22:46:29.658563,1528,4.35052827843,18.8235294118,71.3725490196,0200
22:46:30.894643,1832,8.07955251709,19.2156862745,68.2352941176,0200
22:46:31.969764,2044,11.8085767557,19.6078431373,64.7058823529,0200
22:46:33.15960,2311,13.0515848353,20.0,60.3921568627,0200
22:46:34.7425,1874,16.780609074,21.568627451,76.4705882353,0200
22:46:35.225925,2037,19.2666252331,22.3529411765,75.6862745098,0200
22:46:36.272297,2123,21.1311373524,22.3529411765,74.5098039216,0200
22:46:37.320936,2166,22.9956494717,14.9019607843,27.4509803922,0400
22:46:38.423500,1786,24.2386575513,18.431372549,61.568627451,0200
22:46:39.438516,1787,24.2386575513,19.6078431373,71.7647058824,0200
22:46:40.488529,1866,26.1031696706,20.0,72.5490196078,0200
22:46:41.505994,1900,26.1031696706,20.3921568627,73.3333333333,0200
22:46:42.519490,1934,27.3461777502,20.3921568627,73.3333333333,0200
22:46:43.542253,1949,28.5891858297,20.3921568627,68.6274509804,0200
22:46:44.616129,1470,29.2106898695,10.5882352941,23.9215686275,0400
22:46:45.666046,970,27.9676817899,10.5882352941,25.0980392157,0200
22:46:46.749797,919,27.9676817899,12.9411764706,35.2941176471,0200
22:46:47.799734,1136,26.7246737104,13.7254901961,38.0392156863,0200
22:46:48.817330,1284,26.1031696706,16.4705882353,62.7450980392,0200
22:46:49.867252,1505,26.1031696706,10.5882352941,26.6666666667,0200
22:46:50.943634,948,26.1031696706,14.9019607843,45.8823529412,0200
22:46:51.986009,1301,25.4816656308,16.4705882353,62.3529411765,0200
22:46:53.3671,1057,26.1031696706,10.5882352941,26.2745098039,0200
22:46:54.18320,936,25.4816656308,10.5882352941,27.4509803922,0200
22:46:55.16095,873,24.2386575513,10.5882352941,28.6274509804,0200
22:46:56.19217,812,22.3741454319,10.5882352941,30.9803921569,0200
22:46:57.62282,727,18.6451211933,10.5882352941,33.7254901961,0200
22:46:58.134952,699,16.780609074,10.5882352941,34.5098039216,0200
22:46:59.213510,675,14.9160969546,10.5882352941,35.6862745098,0200
22:47:0.267358,669,11.8085767557,10.5882352941,35.2941176471,0200
22:47:1.314805,723,7.45804847732,10.5882352941,34.9019607843,0200
22:47:2.358640,634,3.10752019888,15.2941176471,59.6078431373,0200
22:47:3.411036,1438,3.10752019888,18.0392156863,70.9803921569,0200
22:47:4.488669,1657,6.83654443754,18.0392156863,64.7058823529,0200
22:47:5.809818,1876,10.5655686762,18.0392156863,60.0,0200
22:47:6.834942,2094,13.0515848353,18.0392156863,67.4509803922,0200
22:47:7.907326,1716,15.5376009944,20.3921568627,75.6862745098,0200
22:47:8.952455,1940,17.4021131137,22.3529411765,77.6470588235,0200
22:47:9.958576,2082,19.2666252331,22.7450980392,76.0784313725,0200
22:47:11.57492,2182,21.7526413922,22.7450980392,74.1176470588,0200
22:47:12.134861,2324,24.8601615911,22.7450980392,72.1568627451,0200
22:47:13.209963,2449,26.7246737104,23.137254902,70.1960784314,0200
22:47:14.309908,2589,29.2106898695,23.137254902,74.5098039216,0200
22:47:15.356190,2065,31.0752019888,23.137254902,78.0392156863,0200
22:47:16.407378,2155,32.3182100684,23.137254902,76.4705882353,0200
22:47:17.451290,2195,34.1827221877,23.137254902,76.0784313725,0200
22:47:18.508616,2242,36.047234307,23.137254902,74.9019607843,0200
22:47:19.583737,2288,37.9117464264,23.137254902,74.1176470588,0200
22:47:20.656186,2350,39.7762585457,23.137254902,73.3333333333,0200
22:47:21.728809,2413,41.0192666252,23.137254902,72.5490196078,0200
22:47:22.780023,2481,42.2622747048,23.137254902,71.3725490196,0200
22:47:23.851169,2533,43.5052827843,23.137254902,71.3725490196,0200
22:47:24.902512,2548,44.7482908639,23.137254902,70.5882352941,0200
22:47:26.2423,2584,45.3697949037,23.137254902,70.1960784314,0200
22:47:27.75049,2607,45.9912989434,23.137254902,70.5882352941,0200
22:47:28.99947,2646,46.6128029832,23.5294117647,71.3725490196,0200
22:47:29.173777,2688,47.234307023,22.7450980392,67.4509803922,0200
22:47:30.247421,2660,47.234307023,22.3529411765,76.0784313725,0200
22:47:31.268839,2213,47.8558110628,27.4509803922,86.6666666667,0200
22:47:32.311209,2326,49.0988191423,29.4117647059,89.0196078431,0200
22:47:33.353848,2356,49.7203231821,30.5882352941,89.8039215686,0200
22:47:34.551244,2381,50.9633312617,31.7647058824,89.0196078431,0200
22:47:35.733806,2470,51.5848353014,32.1568627451,89.4117647059,0200
22:47:36.781246,2498,52.827843381,32.5490196078,89.0196078431,0200
22:47:37.876298,2503,53.4493474208,32.9411764706,89.8039215686,0200
22:47:38.927496,2533,54.6923555003,32.9411764706,89.8039215686,0200
22:47:39.998845,2562,55.3138595401,33.3333333333,89.4117647059,0200
22:47:41.46294,2568,56.5568676196,33.3333333333,89.8039215686,0200
22:47:42.121345,2586,57.1783716594,33.3333333333,89.4117647059,0200
22:47:43.170119,2590,57.7998756992,33.3333333333,89.4117647059,0200
22:47:44.193757,2612,59.0428837787,33.3333333333,89.4117647059,0400
22:47:45.228319,2640,59.6643878185,33.3333333333,89.4117647059,0400
22:47:46.272568,2664,60.2858918583,33.3333333333,89.4117647059,0400
22:47:47.351353,2680,61.5288999378,33.3333333333,89.0196078431,0400
22:47:48.418814,2703,62.1504039776,33.3333333333,89.4117647059,0400
22:47:49.481462,2710,62.7719080174,33.3333333333,89.4117647059,0400
22:47:50.530015,2722,63.3934120572,32.9411764706,76.0784313725,0400
22:47:51.632660,2267,64.014916097,21.9607843137,68.6274509804,0200
22:47:52.677532,2571,64.014916097,23.5294117647,74.9019607843,0200
22:47:53.693901,2359,64.014916097,23.9215686275,78.0392156863,0200
22:47:54.797538,2358,64.014916097,24.3137254902,78.431372549,0200
22:47:55.820192,2383,64.6364201367,24.3137254902,78.0392156863,0200
22:47:56.852591,2395,65.2579241765,10.5882352941,16.862745098,0400
22:47:57.923989,2403,64.6364201367,20.0,56.0784313725,0200
22:47:58.942593,2494,64.014916097,20.0,59.6078431373,0200
22:47:59.967689,2357,64.6364201367,20.0,60.7843137255,0200
22:48:0.981331,2356,64.014916097,20.0,61.568627451,0200
22:48:1.972659,2362,64.014916097,20.0,61.9607843137,0200
22:48:3.47587,2360,64.014916097,20.0,61.9607843137,0200
22:48:4.151517,2355,64.014916097,10.5882352941,15.2941176471,0400
22:48:5.370100,2075,63.3934120572,17.6470588235,38.8235294118,0200
22:48:6.385228,2446,62.7719080174,20.0,58.0392156863,0200
22:48:7.430110,2306,62.7719080174,20.3921568627,64.7058823529,0200
22:48:8.479036,2313,62.7719080174,20.7843137255,67.0588235294,0200
22:48:9.520161,2314,62.7719080174,21.1764705882,67.8431372549,0200
22:48:10.567726,2314,62.7719080174,21.9607843137,72.1568627451,0200
22:48:11.612666,2349,63.3934120572,22.7450980392,74.5098039216,0200
22:48:12.638956,2313,63.3934120572,10.5882352941,16.862745098,0400
22:48:13.683890,2316,63.3934120572,18.431372549,45.0980392157,0200
22:48:14.712799,2391,62.1504039776,20.0,62.3529411765,0200
22:48:15.763640,2281,62.1504039776,20.3921568627,65.0980392157,0200
22:48:16.856465,2276,62.1504039776,20.7843137255,67.0588235294,0200
22:48:17.932659,2287,62.1504039776,21.1764705882,69.4117647059,0200
22:48:19.10285,2301,62.1504039776,21.9607843137,73.7254901961,0200
22:48:20.35200,2294,62.1504039776,23.5294117647,78.0392156863,0200
22:48:21.79022,2306,62.1504039776,24.3137254902,80.0,0200
22:48:22.91445,2319,62.7719080174,25.0980392157,81.568627451,0200
22:48:23.166584,2325,62.7719080174,25.4901960784,81.9607843137,0200
22:48:24.199000,2327,63.3934120572,25.4901960784,82.3529411765,0200
